qs_name,qs_rank,shan_name_best_match,shan_rank,score
Massachusetts Institute of Technology (MIT) ,1,massachusetts institute of technology,3,95
University of Cambridge,2,university of cambridge,5,100
University of Oxford,3,university of oxford,1,100
Harvard University,4,harvard university,4,100
Stanford University,5,stanford university,2,100
Imperial College London,6,imperial college london,8,100
ETH Zurich - Swiss Federal Institute of Technology,7,eth zurich,11,90
National University of Singapore (NUS),8,national university of singapore,19,95
UCL,9,ucl,22,100
"University of California, Berkeley (UCB)",10,"university of california, berkeley",9,95
University of Chicago,11,the university of chicago,13,95
University of Pennsylvania,12,university of pennsylvania,16,100
Cornell University,13,cornell university,20,100
The University of Melbourne,14,university of melbourne,37,95
California Institute of Technology (Caltech),15,california institute of technology,7,95
Yale University,16,yale university,10,100
Peking University,17,peking university,14,100
Princeton University,17,princeton university,6,100
The University of New South Wales (UNSW Sydney),19,unsw sydney,84,90
The University of Sydney,19,the university of sydney,60,100
University of Toronto,21,university of toronto,21,100
The University of Edinburgh,22,university of edinburgh,30,95
Columbia University,23,columbia university,17,100
Université PSL,24,paris sciences et lettres - psl research university paris,40,86
Tsinghua University,25,tsinghua university,12,100
"Nanyang Technological University, Singapore (NTU)",26,"nanyang technological university, singapore",32,95
The University of Hong Kong,26,university of hong kong,35,95
Johns Hopkins University,28,johns hopkins university,15,100
The University of Tokyo,28,the university of tokyo,29,100
"University of California, Los Angeles (UCLA)",29,"university of california, los angeles",18,95
McGill University,30,mcgill university,49,100
The University of Manchester,32,university of manchester,51,95
University of Michigan-Ann Arbor,33,university of michigan-ann arbor,23,100
The Australian National University,34,australian national university,67,95
University of British Columbia,34,university of british columbia,41,100
EPFL,36,temple university,33,68
Technical University of Munich,37,technical university of munich,30,100
Institut Polytechnique de Paris,38,institut polytechnique de paris,71,100
New York University (NYU),38,new york university,27,95
King's College London,40,king’s college london,38,100
Seoul National University,41,seoul national university,62,100
Monash University,42,monash university,54,100
The University of Queensland,43,the university of queensland,70,100
Zhejiang University,44,zhejiang university,55,100
The London School of Economics and Political Science (LSE),45,london school of economics and political science,46,95
Kyoto University,46,kyoto university,55,100
Delft University of Technology,47,delft university of technology,48,100
Northwestern University,47,northwestern university,28,100
The Chinese University of Hong Kong (CUHK),47,chinese university of hong kong,53,95
Fudan University,50,fudan university,44,100
Shanghai Jiao Tong University,51,shanghai jiao tong university,43,100
Carnegie Mellon University,52,carnegie mellon university,24,100
University of Amsterdam,53,university of amsterdam,61,100
Ludwig-Maximilians-Universität München,54,universität heidelberg,38,86
University of Bristol,55,university of bristol,81,100
KAIST - Korea Advanced Institute of Science & Technology,56,korea advanced institute of science and technology (kaist),83,95
Duke University,57,duke university,26,100
University of Texas at Austin,58,university of texas at austin,52,100
Sorbonne University,59,sorbonne university,75,100
The Hong Kong University of Science and Technology,60,the hong kong university of science and technology,64,100
KU Leuven,61,ku leuven,45,100
"University of California, San Diego (UCSD)",62,"university of california, san diego",34,95
University of Washington,63,university of washington,25,100
University of Illinois at Urbana-Champaign,64,university of illinois at urbana-champaign,42,100
The Hong Kong Polytechnic University,65,the hong kong polytechnic university,87,100
Universiti Malaya (UM),65,university of malaya,251-300,81
The University of Warwick,67,university of warwick,106,95
The University of Auckland,68,university of auckland,150,95
National Taiwan University (NTU),69,national taiwan university (ntu),152,100
City University of Hong Kong,70,city university of hong kong,82,100
Université Paris-Saclay,71,université paris-saclay,58,100
The University of Western Australia,72,the university of western australia,143,100
Brown University,73,brown university,64,100
KTH Royal Institute of Technology ,73,kth royal institute of technology,97,100
University of Leeds,75,university of leeds,129,100
University of Glasgow,76,university of glasgow,87,100
Yonsei University,76,yonsei university (seoul campus),76,90
Durham University,78,durham university,174,100
Korea University,79,korea university,201-250,100
Osaka University,80,osaka university,175,100
"Trinity College Dublin, The University of Dublin",81,trinity college dublin,134,90
University of Southampton,81,university of southampton,97,100
Pennsylvania State University,83,university of pennsylvania,16,89
University of Birmingham,84,university of birmingham,101,100
Lund University,85,lund university,106,100
Universidade de São Paulo,85,école polytechnique fédérale de lausanne,201-250,86
Lomonosov Moscow State University,87,lomonosov moscow state university,95,100
Ruprecht-Karls-Universität Heidelberg,87,universität heidelberg,47,90
The University of Adelaide,89,university of adelaide,111,95
University of Technology Sydney,90,university of technology sydney,148,100
Tokyo Institute of Technology (Tokyo Tech),91,tokyo institute of technology,191,95
University of Zurich,91,university of zurich,80,100
Boston University,93,boston university,78,100
Universidad Nacional Autónoma de México (UNAM),93,université de montréal,801-1000,801-1000
Universidad de Buenos Aires (UBA),95,université de montréal,111,-
University of St Andrews,95,university of st andrews,193,100
Georgia Institute of Technology,97,georgia institute of technology,36,100
Freie Universitaet Berlin,98,free university of berlin,102,84
Purdue University,99,purdue university west lafayette,86,90
Pohang University of Science And Technology (POSTECH),100,pohang university of science and technology (postech),149,100
University of Nottingham,100,university of nottingham,130,100
University of Wisconsin-Madison,102,university of wisconsin-madison,63,100
Pontificia Universidad Católica de Chile (UC),103,université de montréal,401-500,86
The University of Sheffield,104,university of sheffield,105,95
Uppsala University,105,uppsala university,140,100
RWTH Aachen University,106,rwth aachen university,90,100
University of Copenhagen,107,university of copenhagen,103,100
Utrecht University,107,"university of california, berkeley",66,-
Aalto University,109,aalto university,201-250,100
Newcastle University,110,newcastle university,168,100
University of Alberta,111,university of alberta,109,100
University of Waterloo,112,university of waterloo,158,100
Tohoku University,113,tohoku university,130,100
Western University,114,western university,201-250,100
University of Helsinki,115,university of helsinki,121,100
University of Southern California,116,university of southern california,74,100
University of Oslo,117,university of oslo,127,100
Stockholm University,118,stockholm university,185,100
"University of California, Davis",118,"university of california, davis",59,100
"KIT, Karlsruhe Institute of Technology",119,karlsruhe institute of technology,140,95
Humboldt-Universität zu Berlin,120,humboldt university of berlin,87,90
Technical University of Denmark,121,technical university of denmark,126,100
Lancaster University,122,lancaster university,155,100
Politecnico di Milano,123,politecnico di milano,201-250,100
Eindhoven University of Technology,124,eindhoven university of technology,168,100
University of Basel,124,university of basel,123,100
Leiden University,126,leiden university,77,100
University of Bern,126,university of bern,116,100
University of Geneva,128,university of geneva,183,100
Chalmers University of Technology,129,chalmers university of technology,189,100
Macquarie University,130,macquarie university,180,100
University of Vienna,130,university of vienna,119,100
"University of North Carolina, Chapel Hill",132,university of north carolina at chapel hill,72,98
Sapienza University of Rome,134,sapienza university of rome,181,100
Texas A&M University,134,texas a&m university,118,100
Michigan State University,136,michigan state university,116,100
Universiti Sains Malaysia (USM),137,université paris-saclay,401-500,69
University of Science and Technology of China,137,university of science and technology of china,57,100
University of Groningen,139,university of groningen,79,100
RMIT University,140,rmit university,251-300,100
Nanjing University,141,nanjing university,73,100
Université de Montréal ,141,université de montréal,111,100
Aarhus University,143,aarhus university,109,100
King Abdulaziz University (KAU),143,king abdulaziz university,251-300,95
Queen Mary University of London,145,queen mary university of london,135,100
Rice University,145,rice university,119,100
Sungkyunkwan University(SKKU),145,sungkyunkwan university (skku),145,98
University of Bath,148,university of bath,251-300,100
Indian Institute of Technology Bombay (IITB),149,university of oxford,-,86
Universitat Autònoma de Barcelona,149,université de montréal,201-250,86
The Ohio State University,151,yale university,99,86
Wageningen University & Research,151,wageningen university & research,64,100
The University of Exeter,153,university of exeter,177,95
Alma Mater Studiorum - University of Bologna,154,university of bologna,155,90
Cardiff University,154,cardiff university,190,100
Technische Universität Berlin (TU Berlin),154,universität heidelberg,136,86
Washington University in St. Louis,154,washington university in st louis,68,99
Universiti Putra Malaysia (UPM),158,university of malaya,501-600,68
Ghent University,159,ghent university,115,100
Universidad de Chile,159,école polytechnique fédérale de lausanne,801-1000,86
Universiti Kebangsaan Malaysia (UKM),159,ulm university,401-500,74
University of Wollongong,162,university of wollongong,201-250,100
"University of California, Santa Barbara (UCSB)",163,"university of california, santa barbara",69,95
Hanyang University,164,hainan university,301-350,91
Kyushu University,164,kyushu university,301-400,100
Universitat de Barcelona,164,école polytechnique fédérale de lausanne,152,86
Emory University,166,emory university,106,100
University of York,167,university of york,147,100
University of Florida,168,university of florida,132,100
"University of Maryland, College Park",169,"university of maryland, college park",114,100
University of Reading,169,university of reading,201-250,100
Complutense University of Madrid,171,complutense university of madrid,301-400,100
University College Dublin,171,university college dublin,201-250,100
Qatar University,173,qatar university,251-300,100
"The University of Newcastle, Australia (UON)",173,"the university of newcastle, australia",401-500,95
University of Cape Town,173,university of cape town,167,100
Erasmus University Rotterdam ,176,erasmus university rotterdam,99,100
Nagoya University,176,nagoya university,201-250,100
University of Liverpool,176,university of liverpool,168,100
Arizona State University,179,arizona state university (tempe),182,95
King Fahd University of Petroleum & Minerals,180,king fahd university of petroleum & minerals,401-500,100
Université catholique de Louvain (UCLouvain),180,université catholique de louvain,168,95
University of Calgary,182,university of calgary,201-250,100
Curtin University,183,curtin university,201-250,100
École Normale Supérieure de Lyon,184,école normale supérieure de lyon,251-300,100
Technische Universität Wien,184,tu wien,251-300,86
Tecnológico de Monterrey,184,école polytechnique fédérale de lausanne,601-800,86
University of Gothenburg,187,university of gothenburg,201-250,100
Universiti Teknologi Malaysia ,188,university of malaya,251-300,73
McMaster University,189,mcmaster university,103,100
Queensland University of Technology (QUT),189,queensland university of technology,199,95
Universite libre de Bruxelles,189,université libre de bruxelles,201-250,98
Albert-Ludwigs-Universitaet Freiburg,192,university of freiburg,128,86
Ecole des Ponts ParisTech,192,unesp,401-500,54
Wuhan University,194,wuhan university,164,100
University of Minnesota Twin Cities,195,university of minnesota,85,90
Hokkaido University,196,"university of california, berkeley",351-400,86
Indian Institute of Technology Delhi (IITD),197,university of oxford,-,86
Universidad de los Andes,198,"university of california, los angeles",18,86
Universidad Autónoma de Madrid,199,autonomous university of madrid,301-400,73
Waseda University,199,swansea university,801-1000,91
Queen's University Belfast,202,queen’s university belfast,201-250,100
King Saud University,203,"university of california, berkeley",401-500,86
University of Ottawa,203,university of ottawa,177,100
Universität Hamburg,205,university of hamburg,136,87
University of Otago,206,university of otago,401-500,100
Vrije Universiteit Amsterdam,207,vrije universiteit amsterdam,125,100
University of Aberdeen,208,university of aberdeen,201-250,100
Queen's University at Kingston,209,queen’s university,251-300,90
University of Twente,210,university of twente,184,100
Chulalongkorn University,211,chulalongkorn university,501-600,100
Loughborough University,212,loughborough university,251-300,100
Eberhard Karls Universität Tübingen,213,universität heidelberg,95,86
Keio University,214,keio university,301-400,100
Tel Aviv University,215,tel aviv university,201-250,100
Tongji University,216,tongji university,185,100
National Yang Ming Chiao Tung University,217,national yang ming chiao tung university,401-500,100
University of Sussex,218,university of sussex,201-250,100
Università di Padova,219,université catholique de louvain,201-250,86
Universidade Estadual de Campinas (Unicamp),220,université de montréal,351-400,86
University of Lausanne,220,university of lausanne,143,100
Radboud University ,222,radboud university nijmegen,140,90
University of Pittsburgh,222,university of pittsburgh-pittsburgh campus,145,90
University of Rochester,224,university of rochester,133,100
Indian Institute of Science,225,indian institute of science,201-250,100
American University of Beirut (AUB),226,university of oxford,501-600,86
Universidad Nacional de Colombia,226,université de montréal,1201-1500,86
National Cheng Kung University (NCKU),228,national cheng kung university (ncku),301-400,100
Friedrich-Alexander-Universität Erlangen-Nürnberg,229,universität heidelberg,193,86
Al-Farabi Kazakh National University,230,university of oxford,1201-1500,86
Khalifa University of Science and Technology,230,macau university of science and technology,251-300,91
University of Göttingen,232,university of göttingen,111,100
Deakin University,233,deakin university,251-300,100
National Tsing Hua University,233,national tsing hua university,401-500,100
Heriot-Watt University,235,"university of california, berkeley",351-400,86
Université de Paris-Cité,236,université paris cité,152,95
Dartmouth College,237,dartmouth college,161,100
Universitas Indonesia,237,university of minnesota,801-1000,73
Massey University,239,"university of california, berkeley",501-600,86
Rheinische Friedrich-Wilhelms-Universität Bonn,239,universität heidelberg,91,86
Victoria University of Wellington,241,victoria university of wellington,401-500,100
La Trobe University,242,la trobe university,251-300,100
Griffith University,243,griffith university,251-300,100
University of Surrey,244,university of surrey,251-300,100
University of Massachusetts Amherst,245,university of massachusetts,123,95
Technical University of Darmstadt,246,technical university of darmstadt,251-300,100
Technische Universität Dresden,246,tu dresden,161,86
Charles University,248,charles university in prague,401-500,90
University of Antwerp,248,university of antwerp,161,100
University of Waikato,250,massachusetts institute of technology,401-500,86
The Hebrew University of Jerusalem,251,university of oxford,301-350,86
Politecnico di Torino,252,scuola normale superiore di pisa,401-500,86
University of Porto,253,university of toronto,401-500,90
University of Macau,254,university of macau,193,100
Case Western Reserve University,255,case western reserve university,164,100
Harbin Institute of Technology,256,harbin institute of technology,168,100
Maastricht University ,256,maastricht university,138,100
University of Canterbury | Te Whare W?nanga o Waitaha,256,university of canterbury,401-500,90
Vrije Universiteit Brussel (VUB),259,vrije universiteit brussel (vub),301-400,100
University of Virginia,260,university of virginia (main campus),166,90
Vanderbilt University,261,vanderbilt university,92,100
University of Warsaw ,262,university of warsaw,401-500,100
Gadjah Mada University,263,"university of california, berkeley",1201-1500,86
University of Colorado Boulder,264,university of colorado boulder,138,100
University of Witwatersrand,264,university of the witwatersrand,301-400,95
Ulsan National Institute of Science and Technology (UNIST),266,ulsan national institute of science and technology (unist),199,100
University of Lisbon ,266,university of bonn,401-500,89
Linköping University,268,linköping university,251-300,100
"University of California, Irvine",268,"university of california, irvine",92,100
University of Cologne,268,university of cologne,160,100
Indian Institute of Technology Kharagpur (IIT-KGP),271,university of oxford,-,86
Beijing Normal University ,272,beijing normal university,177,100
University of Leicester,272,university of leicester,201-250,100
North Carolina State University,274,north carolina state university,251-300,100
Huazhong University of Science and Technology,275,huazhong university of science and technology,158,100
University of Milan,276,university of miami,351-400,89
University of Strathclyde,276,university of strathclyde,501-600,100
Indian Institute of Technology Kanpur (IITK),278,university of oxford,-,86
University of Miami,278,university of miami,201-250,100
University of Navarra,280,university of navarra,501-600,100
Bandung Institute of Technology (ITB),281,university of oxford,1201-1500,86
University of Bergen,281,university of bergen,251-300,100
Stellenbosch University,283,stellenbosch university,401-500,100
Taylor's University,284,"university of california, berkeley",-,86
Indian Institute of Technology Madras (IITM),285,university of oxford,-,86
Swinburne University of Technology,285,swinburne university of technology,201-250,100
The University of Arizona,285,university of arizona,155,95
Tianjin University,285,tianjin university,201-250,100
University of Galway,289,university of malaya,301-350,90
United Arab Emirates University,290,university of oxford,301-350,86
Xi’an Jiaotong University,291,xi’an jiaotong university,251-300,100
Norwegian University of Science And Technology,292,pohang university of science and technology,301-350,90
University College Cork,292,university college cork,301-400,100
Université Grenoble Alpes,294,université laval,301-350,86
Hong Kong Baptist University,295,university of hong kong,301-350,88
University of East Anglia (UEA),295,university of east anglia,251-300,95
Georgetown University,297,georgetown university,187,100
Dalhousie University,298,dalhousie university,301-400,100
Rutgers University-New Brunswick,299,rutgers university - new brunswick,201-250,97
UCSI University,300,rush university,-,87
